person_id,id,name,character,role
18603,tm65789,William Holden,Joe Gillis,ACTOR
21168,tm65789,Gloria Swanson,Norma Desmond,ACTOR
21170,tm65789,Erich von Stroheim,Max von Mayerling,ACTOR
21171,tm65789,Nancy Olson,Betty Schaefer,ACTOR
21169,tm65789,Fred Clark,Sheldrake,ACTOR
21172,tm65789,Lloyd Gough,Morino,ACTOR
21173,tm65789,Jack Webb,Artie Green,ACTOR
22477,tm65789,Franklyn Farnum,Undertaker,ACTOR
63430,tm65789,Larry J. Blake,1st Finance Man,ACTOR
137374,tm65789,Charles Dayton,2nd Finance Man,ACTOR
21175,tm65789,Cecil B. DeMille,Cecil B. DeMille,ACTOR
21176,tm65789,Hedda Hopper,Hedda Hopper,ACTOR
21174,tm65789,Buster Keaton,Buster Keaton,ACTOR
28846,tm65789,Anna Q. Nilsson,Anna Q. Nilsson,ACTOR
27178,tm65789,H.B. Warner,H.B. Warner,ACTOR
21177,tm65789,Ray Evans,Ray Evans,ACTOR
82872,tm65789,Jay Livingston,Jay Livingston,ACTOR
90203,tm65789,Fred Aldrich,Cop Who Drags Joe's Body from Pool (uncredited),ACTOR
94588,tm65789,Joel Allen,Prop Man #2 (uncredited),ACTOR
71892,tm65789,Gertrude Astor,Courtier (uncredited),ACTOR
36515,tm65789,Anne Bauchens,Editor (uncredited),ACTOR
24719,tm65789,Edward Biby,Restaurant Patron (uncredited),ACTOR
15265,tm65789,Danny Borzage,Accordionist (uncredited),ACTOR
207640,tm65789,Ken Christy,Homicide Captain (uncredited),ACTOR
106313,tm65789,Ruth Clifford,Sheldrake's Secretary (uncredited),ACTOR
565919,tm65789,Archie R. Dalzell,Camera Operator (uncredited),ACTOR
151253,tm65789,Eddie Dew,Assistant Coroner (uncredited),ACTOR
39501,tm65789,Julia Faye,Hisham (uncredited),ACTOR
35503,tm65789,Al Ferguson,Phone Standby (uncredited),ACTOR
565918,tm65789,Gerry Ganzer,Betty's Roommate Connie (uncredited),ACTOR
71398,tm65789,Rudy Germane,Detective (uncredited),ACTOR
58321,tm65789,Kenneth Gibson,Salesman at Men's Shop (uncredited),ACTOR
14753,tm65789,Creighton Hale,Creighton Hale (uncredited),ACTOR
13384,tm65789,Chuck Hamilton,Grip on DeMille Set (uncredited),ACTOR
82261,tm65789,Len Hendry,Police Sergeant (uncredited),ACTOR
219985,tm65789,E. Mason Hopper,Doctor (uncredited),ACTOR
565920,tm65789,Stan Johnson,First Assistant Director (uncredited),ACTOR
108227,tm65789,Tiny Jones,Little Woman Outside Paramount Gate (uncredited),ACTOR
32300,tm65789,Howard Joslin,Police Lieutenant (uncredited),ACTOR
564510,tm65789,Arthur Lane,Camera Operator (uncredited),ACTOR
96349,tm65789,Perc Launders,Violinist at Norma's New Year's Eve Party (uncredited),ACTOR
96352,tm65789,William Meader,Party Guest (uncredited),ACTOR
138444,tm65789,Gertrude Messinger,Hairdresser (uncredited),ACTOR
49085,tm65789,Harold Miller,Man on Golf Course (uncredited),ACTOR
60488,tm65789,Howard Negley,Police Captain (uncredited),ACTOR
49086,tm65789,"John ""Skins"" Miller",Hog-Eye Electrician (uncredited),ACTOR
559991,tm65789,Lee Miller,Dancing Party Guest / Paramount Studio Employee (uncredited),ACTOR
71896,tm65789,Ralph Montgomery,Prop Man #1 (uncredited),ACTOR
27201,tm65789,Bert Moorhouse,Gordon Cole (uncredited),ACTOR
173516,tm65789,Jay Morley,Fat Man (uncredited),ACTOR
93412,tm65789,Eva Novak,Courtier (uncredited),ACTOR
27315,tm65789,Frank O'Connor,Courtier (uncredited),ACTOR
31161,tm65789,Robert Emmett O'Connor,Older Paramount Gate Guard Jonesy (uncredited),ACTOR
90209,tm65789,Jack Perrin,Detective (uncredited),ACTOR
563973,tm65789,Sidney Skolsky,Sidney Skolsky (uncredited),ACTOR
100488,tm65789,Emmett Smith,Black Man (uncredited),ACTOR
71403,tm65789,Archie Twitchell,Salesman at Men's Shop (uncredited),ACTOR
597972,tm65789,Yvette Vickers,Giggling Girl on Phone at Party (uncredited),ACTOR
563349,tm65789,Edward Wahrman,Camera Assistant (uncredited),ACTOR
36494,tm65789,Henry Wilcoxon,Actor on DeMille's 'Samson & Delilah' Set (uncredited),ACTOR
1176340,tm65789,Peter Drynan,Tailor (uncredited),ACTOR
1176416,tm65789,Sanford E. Greenwald,Newsreel Cameraman (uncredited),ACTOR
1176418,tm65789,Alan Marston,Reporter (uncredited),ACTOR
557181,tm65789,Bernice Mosk,Bernice (uncredited),ACTOR
1153089,tm65789,Virginia L. Randolph,Courtier (uncredited),ACTOR
1176434,tm65789,Bill Sheehan,Second Assistant Director (uncredited),ACTOR
1176429,tm65789,Roy Thompson,"Rudy, Shoeshine Boy (uncredited)",ACTOR
8036,tm65789,Jack Warden,Party Guest (uncredited),ACTOR
22488,tm65789,Billy Wilder,,DIRECTOR
25018,tm83884,Cary Grant,Walter Burns,ACTOR
28500,tm83884,Rosalind Russell,Hildy Johnson,ACTOR
12463,tm83884,Ralph Bellamy,Bruce Baldwin,ACTOR
28501,tm83884,Gene Lockhart,Sheriff Hartwell,ACTOR
28506,tm83884,Helen Mack,Mollie Malloy,ACTOR
27185,tm83884,Porter Hall,Murphy,ACTOR
28510,tm83884,Ernest Truex,Bensinger,ACTOR
13325,tm83884,Cliff Edwards,Endicott,ACTOR
28502,tm83884,Clarence Kolb,Mayor,ACTOR
20167,tm83884,Roscoe Karns,McCue,ACTOR
28503,tm83884,Frank Jenks,Wilson,ACTOR
23834,tm83884,Regis Toomey,Sanders,ACTOR
28504,tm83884,Abner Biberman,Louie,ACTOR
28505,tm83884,Frank Orth,Duffy,ACTOR
14710,tm83884,John Qualen,Earl Williams,ACTOR
28507,tm83884,Alma Kruger,Mrs. Baldwin,ACTOR
6137,tm83884,Billy Gilbert,Joe Pettibone,ACTOR
28508,tm83884,Pat West,Warden Cooley,ACTOR
28509,tm83884,Edwin Maxwell,Dr. Egelhoffer,ACTOR
13331,tm83884,Irving Bacon,Gus (uncredited),ACTOR
